Bacia,Observacoes,NSE,Cor,RMSE
34730000,95,0.19183412862970672,0.7486635589188567,2.9777329522199056
34740000,19,0.19876440961084563,0.883080277578843,3.039780787722681
34750000,103,0.7468826763981036,0.9235879271061578,28.508029622934824
35050000,23,0.6801915436006567,0.9419802798058555,2.7626214120031003
35125000,66,0.8959710143320164,0.9712550638815093,7.200378688853642
35170000,93,0.9391701307041289,0.9747223034278844,10.069301290160277
35210000,116,0.9104149965879283,0.9585639252474872,6.03297322765402
35223000,26,0.06915410433046076,0.8009222670735969,156.2594598858465
35240000,85,0.4545202119824129,0.830572263515052,23.229542884148604
35260000,101,0.7698858764213593,0.9286607147413772,14.157796943347938
35263000,58,0.7897322277881446,0.9502628472972732,2.2104519444273922
35668000,64,0.33459149302963254,0.9700127184227706,1.7449884689652277
35880000,58,0.04785695587495442,0.7131690593679756,10.323818921854928
35950000,78,0.8811608457041977,0.9477406485095186,3.1977944170842836
36020000,152,0.5438825145656525,0.7382814047886528,19.288930887944286
36125000,88,0.7476235562192908,0.938209262183898,9.079930657327044
36130000,61,0.8234735330675124,0.9711178014094415,10.567178617689216
36160000,202,0.7430083427211822,0.9074976484955632,22.939377412384314
36210000,87,0.7438914790098803,0.8945041972478782,4.242970289081994
36250000,91,0.9178908067927765,0.9589494077542438,3.9876449259735813
36270000,35,-0.871367460291151,0.8189446420997284,38.997904898949926
36290000,122,0.961196575594459,0.980791488253659,12.413868952880138
36470000,55,0.8783157754674952,0.9630510626909479,6.545419749786963
36520000,71,0.8905728869046916,0.9511696149759824,10.718104758162257
