Bacia,Observacoes,NSE,Cor,RMSE
34730000,475,-3.2159075645209816,0.5924439776661843,15.065682038976433
34740000,92,0.5642362022373988,0.8215173147840462,4.140770832055208
34750000,514,0.822700344741021,0.9378464464562651,40.725010316530074
35050000,115,0.3674675118139844,0.6574009459927315,6.8370433305867255
35125000,328,0.8849091480792741,0.9549348701479239,6.510204881558637
35170000,462,0.7850333083898063,0.8869614409665434,27.555836027405324
35210000,578,0.8143729581595177,0.9225587669371065,10.728913031390194
35223000,130,0.18177409167328784,0.7299725398747231,68.62290838475174
35240000,421,0.6149292067088138,0.8121161800838442,11.292505822200381
35260000,504,0.8550950469392956,0.9250080438453793,10.325917883727621
35263000,287,-0.5638332291106292,0.9501179215308255,12.94159762093921
35668000,319,-1.5218946290841266,0.8812937870355225,8.872358466031978
35880000,287,0.8734972315026076,0.9685501994587369,12.731455606122504
35950000,386,0.7857324040778594,0.9383338071142009,9.542062189234494
36020000,762,0.5356686849279475,0.8264604234164428,18.193406414736668
36125000,440,0.7945025369054359,0.8977169707754679,6.150585463169263
36130000,302,0.904442098768443,0.9544903452748184,10.386622775031189
36160000,1007,0.766611467348866,0.8926911046266698,43.39179451974682
36210000,431,-0.07022530640399816,0.42832253226515904,7.649667531575934
36250000,454,0.8096434396340761,0.9052904320008585,4.925968917798694
36270000,172,0.8058750742196394,0.9164731277115072,32.62049518227055
36290000,607,0.8542382001625515,0.9312406707907804,25.49321718401662
36470000,274,0.5744866721323272,0.8802115794736357,24.2800172677962
36520000,353,0.865047473610348,0.9509603894283044,18.601368671760145
