Bacia,Observacoes,NSE,Cor,RMSE
34730000,95,0.10053346818663889,0.6714753882130143,3.1414344203738773
34740000,19,0.6237256412967646,0.8890548989365944,2.0831208310675033
34750000,103,0.7513882114549044,0.8896150654825913,28.25316628354376
35050000,23,0.9119368011434359,0.9611464594292944,1.449684950465193
35125000,66,0.8902198048194204,0.9646270634248061,7.396736626382306
35170000,93,0.9234502637441794,0.9636136355667193,11.295689441265305
35210000,116,0.9428731525801808,0.9726430199105237,4.817634738419683
35223000,26,0.1722179474029626,0.7412633457671333,147.35518695825806
35240000,85,0.49642511126622957,0.8391831145172401,22.31944365349977
35260000,101,0.6870264933975166,0.9519336373238099,16.51116926677091
35263000,58,0.8168732583140003,0.9258539379864424,2.062864039326147
35668000,64,0.8352222115373773,0.923748975055944,0.8683558249781568
35880000,58,0.12270926245363944,0.7059144914104507,9.90971241045175
35950000,78,0.631356314626,0.8093648592414378,5.632149357811524
36020000,152,0.6408648260300217,0.8017967574656829,17.115861655044654
36125000,88,0.7235964109051816,0.9220543062373474,9.50232680546806
36130000,61,0.8579975356358964,0.9302328461524515,9.477680724464095
36160000,202,0.7642085528627254,0.8997430128764172,21.972837208444187
36210000,87,0.7282546764475317,0.896706211037012,4.370579417255151
36250000,91,0.8657784176233486,0.9501194583748974,5.09837487304969
36270000,35,0.19683602116969945,0.6259304632914251,25.548408425837764
36290000,122,0.9084225644118294,0.9570192887030188,19.070688326935272
36470000,55,0.7895575566217718,0.905293607696328,8.607698189151925
36520000,71,0.8749223032091358,0.9387745331644423,11.45896688343562
