Bacia,Observacoes,NSE,Cor,RMSE
36160000,937,0.773983304492103,0.8835603483669023,42.93040423418486
35125000,309,0.690023802837281,0.9665116127095422,10.846004002215542
34730000,443,-1.930678938743517,0.4965354265843094,8.598631379195902
35050000,95,0.6327767881720527,0.8343772627185211,5.336974753527766
35210000,570,0.9209796040786895,0.9659753317402996,7.034251093200883
36250000,450,0.7868024860272562,0.9007920958526596,5.234626732654745
35263000,283,0.8586856023894914,0.9593585120519613,3.9095729206828893
34740000,70,0.22555089776760473,0.7863367279821892,6.1579248711755765
35668000,313,0.3885253391636999,0.6665330988173567,4.407637994015679
36020000,732,0.6783181465376462,0.8397035896761835,14.336884733179927
34750000,508,0.8837726851886427,0.9419552955810305,33.02425644870525
35950000,362,0.8276420911852707,0.9273109490197998,8.777142553499873
36270000,124,0.8601575601495964,0.9409212241987028,29.584809931188406
35240000,392,0.7008063640067981,0.8887410735534081,9.706845864628189
35880000,279,0.8848444143719257,0.9457016266803528,11.233139406493033
36520000,325,0.9198860763877503,0.9639110628497579,14.791889109930246
36125000,428,0.8138785086014193,0.9103461511533086,4.976642812910191
35170000,443,0.8993686462828876,0.9502855235378528,19.117642555526544
36130000,280,0.9217939508884851,0.9616841552012871,9.724374385186142
36210000,411,0.7823121202767875,0.8872166381278652,3.4006348229585948
36290000,568,0.8589596650859772,0.9366494874385993,25.39240611513352
35223000,124,0.27017144046464026,0.6139411045238939,66.30943364895333
35260000,494,0.8017736412512118,0.9271999499359985,12.175403971013534
36220000,124,-39.63953152986612,0.7548161644674855,4.731792782229763
36470000,224,0.7366435463148359,0.9144863294184138,19.10324507161999
